Name,ID,number of warnings,Reason,Date (YYYY-MM-DD),Expiry - 60 / ∞ / ∅
Bacon That Expires in 2017,232352527448932359,,Server shilling,2016-12-29,
TrueLegend,257289496993857537,,Continuing an argument after administrative intervention.,2016-12-29,
ChristmasPenguin (Forthelolz999),111616497641660416,,Kicked for being uncooperative in #judgmenthall,2016-12-29,
HarryM,126110044625305600,,Server shilling.,2016-12-28,
GlitzerBlitzer,181502260449247232,,Screamer link spam for a youtube video.,2016-12-28,
Lukaa,260069518355857410,,Going on about how he punches people upon joining.,2016-12-28,
Yellow Oruks,234277901770555392,,spamming embeds ,2016-12-28,
Zuen,244913402667991052,,Random embeds in #newhome,2016-12-28,Posted furries and hitler
Zuen,244913402667991052,,Rule lawyering,2016-12-28,
Faygo,204377881315508224,,Posting a nsfw video in #mediaclub.,2016-12-27,
doot-is-unbootable,134166550549757952,,Permanent warning following an unban.,2016-12-27,∞
Kirimash,142706650246152192,,Permanent warning following an unban.,2016-12-27,∞
requex,261915267498508309,,Micspam in hotel lobby.,2016-12-26,
Kiyoshi,193488722749030409,,Contextless meme in #mediaclub.,2016-12-26,
Meeon,160809056322322432,,Server shilling.,2016-12-26,
ok.,250224494080163842,,being mildly disruptive in #newhome ,2016-12-25,has been asked to stop several times
isy,138690842696089601,,Permanent warning due to unban.,2016-12-25,∞
Matt,209093109450145792,,Permanent warning due to unban.,2016-12-24,∞
Matt,209093109450145792,,"everyone mention in #newhome, ten tried to delete it.",2016-12-23,user is banned
I_LOVE_TORIEL,261774295527587840,,Derailing conversations with contextless imagery in #newhome. 1b violation,2016-12-23,
Kitcat_vambremagiswords5908,261949481799516170,,Continuing to seek self-pity after being told by multiple moderators to stop and continuing with it in judgmenthall.,2016-12-23,
@Elite,251208363189338112,,"all caps spam in newhome, toxic language to users",2016-12-21,
Blobbo,193789388034015232,,Riling up #newhome with topics illregarded after staff intervention.,2016-12-20,warning invalidated/old system
secretlymrsaturn,154754188247564288,,"Couldn't figure out what common sense was (1a), was toxic against others(1d) and then started to ask repeatively what common sense and toxic meant, although it's cleary in the rules (6)",2016-12-18,
secretlymrsaturn,154754188247564288,,Double warning,2016-12-18,
doggoMayo,257668552960638976,,Posting irrelevant embeds in #newhome ,2016-12-18,
Dₑₜₑᵣgₑₙₜ (Flowey),259374666164994049,,Server shilling in home.,2016-12-17,
isy,138690842696089601,,Insulting other members of the chat and posting suggestive imagery,2016-12-17,user is banned
Stivmas likes to flip tables,130740715180261376,,"Kept meming in #newhome , despite being told to stop",2016-12-17,
DogeMayo,257668552960638976,,"Derailing newhome several times, using bots outside #truelab, Rule Lawyering and being generally stubborn in #judgmenthall",2016-12-17,
DogeMayo,257668552960638976,,"Continuing to meme directly after being released from #judgmenthall, further Rule Lawyering",2016-12-17,
